Group, Name, Version
a52dec,a52dec,0.8.0-2
aalib,aalib,1.4rc5-17
aarch64,aarch64-linux-gnu-binutils,2.41-2
aarch64,aarch64-linux-gnu-gcc,13.2.0-1
aarch64,aarch64-linux-gnu-gdb,13.2-1
aarch64,aarch64-linux-gnu-glibc,2.38-1
aarch64,aarch64-linux-gnu-linux-api-headers,6.0-1
abseil,abseil-cpp,20230802.1-1
accessibility,accessibility-inspector,24.05.2-1
accounts,accounts-qml-module,0.7-4
accountsservice,accountsservice,23.13.9-1
acl,acl,2.3.2-1
adobe,adobe-source-code-pro-fonts,2.042u+1.062i+1.026vf-1
adwaita,adwaita-cursors,45.0-1
adwaita,adwaita-fonts,49.0-2
adwaita,adwaita-icon-theme,45.0-1
adwaita,adwaita-icon-theme-legacy,46.2-1
aha,aha,0.5.1-2
akonadi,akonadi,23.08.4-1
akonadi,akonadi-calendar,23.08.4-1
akonadi,akonadi-calendar-tools,23.08.4-1
akonadi,akonadi-contacts,23.08.4-1
akonadi,akonadi-import-wizard,23.08.4-1
akonadi,akonadi-mime,23.08.4-1
akonadi,akonadi-notes,23.08.4-1
akonadi,akonadi-search,23.08.4-1
akonadiconsole,akonadiconsole,23.08.4-1
akregator,akregator,23.08.4-1
alligator,alligator,23.08.4-1
alsa,alsa-card-profiles,1:1.0.3-1
alsa,alsa-lib,1.2.11-1
alsa,alsa-topology-conf,1.2.5.1-3
alsa,alsa-ucm-conf,1.2.11-1
analitza5,analitza5,23.08.4-2
angelfish,angelfish,23.08.4-1
aom,aom,3.8.1-1
appmenu,appmenu-gtk-module,0.7.6-1
apps,apps,0.3-1
appstream,appstream,1.0.1-2
appstream,appstream-qt,1.0.1-2
appstream,appstream-qt5,1.0.1-2
arch,arch-install-scripts,28-1
archlinux,archlinux-appstream-data,20240112-1
archlinux,archlinux-keyring,20240208-1
archlinuxcn,archlinuxcn-keyring,20250531-1
argon2,argon2,20190702-5
arianna,arianna,23.08.4-1
aribb24,aribb24,1.0.3-3
ark,ark,23.08.4-1
artikulate,artikulate,23.08.4-1
ascii,ascii,3.18-3
at,at-spi2-core,2.50.1-1
atkmm,atkmm,2.28.4-1
attica,attica,6.4.0-1
attica5,attica5,5.115.0-1
attr,attr,2.5.2-1
audex,audex,0.96.2-1
audiocd,audiocd-kio,23.08.4-1
audiofile,audiofile,0.3.6-8
audiotube,audiotube,23.08.4-2
audit,audit,4.0-1
autoconf,autoconf,2.72-1
autoconf2.13,autoconf2.13,2.13-7
autogen,autogen,5.18.16-5
automake,automake,1.16.5-2
avahi,avahi,1:0.8+r194+g3f79789-1
avogadro,avogadro-crystals,1.99.0-1
avogadro,avogadro-fragments,1.99.0-1
avogadro,avogadro-molecules,1.99.0-1
avogadrolibs,avogadrolibs,1.99.0-1
